  QueueTimes | ServiceTimes | SojournTimes
    1410.058 |        0.438 |     1410.496
    1410.386 |        0.482 |     1410.867
    1411.226 |        0.498 |     1411.724
    1411.750 |        0.403 |     1412.152
    1411.677 |        0.421 |     1412.098
    1411.254 |        0.411 |     1411.666
    1410.946 |        0.501 |     1411.448
    1411.654 |        0.501 |     1412.155
    1411.814 |        0.426 |     1412.240
    1411.885 |        0.404 |     1412.289
    1408.856 |        0.405 |     1409.261
    1408.885 |        0.508 |     1409.393
    1407.243 |        0.503 |     1407.745
    1406.443 |        0.414 |     1406.857
    1407.084 |        0.408 |     1407.492
    1405.195 |        0.416 |     1405.611
    1405.833 |        0.484 |     1406.317
    1406.170 |        0.492 |     1406.663
    1405.023 |        0.408 |     1405.431
    1405.213 |        0.435 |     1405.648
    1404.089 |        0.421 |     1404.510
    1404.711 |        0.485 |     1405.196
    1405.198 |        0.453 |     1405.651
    1405.988 |        0.433 |     1406.421
    1406.714 |        0.412 |     1407.126
    1406.838 |        0.433 |     1407.271
    1407.570 |        0.483 |     1408.053
    1406.678 |        0.476 |     1407.154
    1405.430 |        0.414 |     1405.845
    1405.589 |        0.406 |     1405.995
    1406.327 |        0.434 |     1406.761
    1405.602 |        0.491 |     1406.093
    1404.843 |        0.433 |     1405.276
    1404.993 |        0.403 |     1405.396
    1402.116 |        0.398 |     1402.514
    1400.927 |        0.460 |     1401.387
    1401.680 |        0.453 |     1402.134
    1401.725 |        0.413 |     1402.138
    1400.968 |        0.421 |     1401.389
    1400.771 |        0.440 |     1401.211
    1401.384 |        0.457 |     1401.841
    1399.075 |        0.459 |     1399.534
    1397.309 |        0.428 |     1397.737
    1397.486 |        0.407 |     1397.893
    1398.193 |        0.439 |     1398.632
    1398.827 |        0.460 |     1399.288
    1397.083 |        0.466 |     1397.549
    1396.856 |        0.416 |     1397.272
    1397.354 |        0.404 |     1397.758
    1397.208 |        0.429 |     1397.637
    1397.636 |        0.461 |     1398.097
    1397.913 |        0.465 |     1398.379
    1398.083 |        0.409 |     1398.492
    1398.674 |        0.485 |     1399.159
    1398.841 |        0.496 |     1399.337
    1398.938 |        0.498 |     1399.437
    1399.350 |        0.476 |     1399.825
    1399.746 |        0.422 |     1400.168
    1399.816 |        0.410 |     1400.226
    1399.789 |        0.425 |     1400.214
    1400.237 |        0.467 |     1400.705
    1400.237 |        0.482 |     1400.719
    1398.823 |        0.424 |     1399.248
    1397.645 |        0.410 |     1398.055
    1398.020 |        0.402 |     1398.422
    1398.722 |        0.427 |     1399.148
    1399.277 |        0.440 |     1399.717
    1399.438 |        0.402 |     1399.841
    1399.938 |        0.405 |     1400.343
    1400.126 |        0.417 |     1400.543
    1400.888 |        0.461 |     1401.349
    1401.396 |        0.439 |     1401.835
    1401.645 |        0.417 |     1402.062
    1401.342 |        0.418 |     1401.760
    1401.911 |        0.405 |     1402.315
    1402.228 |        0.428 |     1402.656
    1402.935 |        0.425 |     1403.360
    1402.295 |        0.395 |     1402.690
    1401.827 |        0.396 |     1402.223
    1401.647 |        0.404 |     1402.051
    1401.088 |        0.431 |     1401.519
    1400.257 |        0.444 |     1400.700
    1400.334 |        0.400 |     1400.734
    1399.458 |        0.417 |     1399.875
    1399.003 |        0.396 |     1399.399
    1399.251 |        0.420 |     1399.671
    1397.575 |        0.424 |     1397.999
    1397.287 |        0.427 |     1397.713
    1396.253 |        0.409 |     1396.661
    1396.519 |        0.419 |     1396.937
    1396.406 |        0.505 |     1396.912
    1397.008 |        0.487 |     1397.495
    1397.613 |        0.488 |     1398.101
    1398.090 |        0.441 |     1398.532
    1398.809 |        0.418 |     1399.227
    1397.661 |        0.474 |     1398.135
    1398.057 |        0.416 |     1398.473
    1397.740 |        0.425 |     1398.165
    1398.073 |        0.417 |     1398.490
    1397.343 |        0.444 |     1397.786
    1397.940 |        0.476 |     1398.416
    1398.328 |        0.419 |     1398.746
    1398.672 |        0.404 |     1399.076
    1399.376 |        0.428 |     1399.805
    1398.492 |        0.455 |     1398.947
    1398.950 |        0.462 |     1399.412
    1399.553 |        0.472 |     1400.025
    1400.258 |        0.479 |     1400.736
    1399.547 |        0.462 |     1400.009
    1398.620 |        0.440 |     1399.059
    1398.849 |        0.522 |     1399.371
    1398.675 |        0.488 |     1399.163
    1399.186 |        0.498 |     1399.684
    1397.346 |        0.521 |     1397.866
    1397.354 |        0.558 |     1397.912
    1397.518 |        0.498 |     1398.016
    1398.075 |        0.416 |     1398.491
    1398.089 |        0.409 |     1398.497
    1398.758 |        0.432 |     1399.191
    1398.069 |        0.469 |     1398.538
    1398.903 |        0.473 |     1399.375
    1399.603 |        0.444 |     1400.046
    1398.503 |        0.405 |     1398.908
    1398.915 |        0.422 |     1399.337
    1399.382 |        0.448 |     1399.830
    1399.411 |        0.439 |     1399.850
    1398.428 |        0.412 |     1398.840
    1398.292 |        0.416 |     1398.707
    1398.684 |        0.433 |     1399.117
    1399.408 |        0.487 |     1399.894
    1399.744 |        0.487 |     1400.231
    1400.077 |        0.503 |     1400.580
    1400.383 |        0.468 |     1400.851
    1400.064 |        0.499 |     1400.563
    1400.773 |        0.465 |     1401.239
    1400.474 |        0.432 |     1400.906
    1399.791 |        0.420 |     1400.211
    1398.910 |        0.422 |     1399.332
    1399.568 |        0.496 |     1400.064
    1399.605 |        0.501 |     1400.106
    1399.054 |        0.407 |     1399.461
    1396.044 |        0.410 |     1396.453
    1395.875 |        0.448 |     1396.323
    1395.306 |        0.520 |     1395.826
    1395.611 |        0.510 |     1396.121
    1394.934 |        0.421 |     1395.355
    1394.900 |        0.415 |     1395.315
    1394.574 |        0.434 |     1395.009
    1394.167 |        0.477 |     1394.644
    1393.601 |        0.475 |     1394.076
    1393.698 |        0.427 |     1394.125
    1393.638 |        0.436 |     1394.074
    1394.391 |        0.407 |     1394.798
    1394.768 |        0.486 |     1395.254
    1395.477 |        0.424 |     1395.901
    1395.546 |        0.448 |     1395.994
    1395.071 |        0.410 |     1395.481
    1394.528 |        0.459 |     1394.987
    1390.847 |        0.523 |     1391.371
    1391.796 |        0.504 |     1392.300
    1392.075 |        0.420 |     1392.495
    1392.003 |        0.451 |     1392.453
    1392.529 |        0.485 |     1393.014
    1392.894 |        0.498 |     1393.392
    1392.261 |        0.409 |     1392.670
    1392.217 |        0.413 |     1392.630
    1391.491 |        0.438 |     1391.929
    1391.924 |        0.500 |     1392.424
    1392.629 |        0.463 |     1393.091
    1390.822 |        0.420 |     1391.242
    1390.122 |        0.403 |     1390.525
    1390.452 |        0.418 |     1390.870
    1389.394 |        0.467 |     1389.861
    1388.002 |        0.459 |     1388.460
    1388.417 |        0.409 |     1388.826
    1384.944 |        0.421 |     1385.365
    1382.059 |        0.412 |     1382.470
    1382.815 |        0.471 |     1383.287
    1383.259 |        0.457 |     1383.715
    1383.888 |        0.443 |     1384.331
    1383.831 |        0.434 |     1384.265
    1382.289 |        0.432 |     1382.722
    1381.603 |        0.489 |     1382.092
    1381.708 |        0.482 |     1382.190
    1382.426 |        0.454 |     1382.880
    1382.883 |        0.421 |     1383.304
    1383.211 |        0.425 |     1383.636
    1382.277 |        0.448 |     1382.725
    1382.597 |        0.430 |     1383.027
    1383.211 |        0.405 |     1383.616
    1383.180 |        0.422 |     1383.602
    1382.135 |        0.417 |     1382.553
    1382.541 |        0.428 |     1382.969
    1383.195 |        0.444 |     1383.639
    1383.571 |        0.409 |     1383.980
    1384.278 |        0.413 |     1384.691
    1383.879 |        0.419 |     1384.298
    1382.496 |        0.425 |     1382.920
    1382.244 |        0.430 |     1382.674
    1382.064 |        0.413 |     1382.478
    1382.166 |        0.418 |     1382.584
    1380.840 |        0.401 |     1381.241
    1381.063 |        0.425 |     1381.488
    1380.372 |        0.440 |     1380.813
    1380.891 |        0.444 |     1381.334
    1381.525 |        0.431 |     1381.956
    1382.200 |        0.421 |     1382.621
    1382.355 |        0.467 |     1382.822
    1382.756 |        0.427 |     1383.183
    1382.082 |        0.415 |     1382.497
    1382.466 |        0.406 |     1382.872
    1382.916 |        0.411 |     1383.326
    1382.466 |        0.425 |     1382.891
    1382.959 |        0.420 |     1383.379
    1382.386 |        0.405 |     1382.791
    1382.350 |        0.404 |     1382.754
    1382.808 |        0.429 |     1383.237
    1382.016 |        0.481 |     1382.497
    1382.257 |        0.437 |     1382.694
    1382.700 |        0.412 |     1383.112
    1382.433 |        0.412 |     1382.846
    1382.809 |        0.404 |     1383.213
    1383.023 |        0.487 |     1383.510
    1382.953 |        0.462 |     1383.415
    1383.066 |        0.407 |     1383.473
    1383.676 |        0.409 |     1384.085
    1384.005 |        0.403 |     1384.409
    1383.481 |        0.450 |     1383.931
    1383.263 |        0.418 |     1383.681
    1382.669 |        0.419 |     1383.089
    1381.903 |        0.412 |     1382.315
    1382.580 |        0.413 |     1382.993
    1382.567 |        0.433 |     1383.000
    1383.239 |        0.420 |     1383.659
    1383.503 |        0.409 |     1383.912
    1382.758 |        0.430 |     1383.188
    1383.443 |        0.417 |     1383.861
    1383.978 |        0.472 |     1384.450
    1381.544 |        0.456 |     1381.999
    1381.529 |        0.421 |     1381.950
    1379.583 |        0.432 |     1380.016
    1380.072 |        0.424 |     1380.495
    1379.864 |        0.472 |     1380.336
    1376.615 |        0.471 |     1377.086
    1376.591 |        0.403 |     1376.994
    1377.011 |        0.402 |     1377.413
    1377.347 |        0.409 |     1377.756
    1377.092 |        0.439 |     1377.531
    1375.721 |        0.457 |     1376.178
    1376.314 |        0.415 |     1376.729
    1376.738 |        0.398 |     1377.135
    1375.707 |        0.420 |     1376.126
    1369.553 |        0.455 |     1370.008
    1369.095 |        0.457 |     1369.552
    1369.152 |        0.420 |     1369.573
    1368.533 |        0.411 |     1368.944
    1368.187 |        0.402 |     1368.589
    1366.162 |        0.437 |     1366.599
    1366.582 |        0.415 |     1366.997
    1366.816 |        0.409 |     1367.224
    1367.307 |        0.422 |     1367.729
    1366.427 |        0.419 |     1366.846
    1366.364 |        0.440 |     1366.805
    1365.444 |        0.435 |     1365.879
    1364.814 |        0.405 |     1365.219
    1363.594 |        0.403 |     1363.998
    1363.481 |        0.437 |     1363.918
    1364.050 |        0.439 |     1364.490
    1363.367 |        0.424 |     1363.791
    1362.285 |        0.433 |     1362.719
    1362.949 |        0.462 |     1363.411
    1362.752 |        0.470 |     1363.222
    1362.504 |        0.460 |     1362.965
    1363.178 |        0.418 |     1363.595
    1363.175 |        0.420 |     1363.595
    1362.332 |        0.434 |     1362.767
    1362.388 |        0.425 |     1362.813
    1362.814 |        0.434 |     1363.248
    1362.023 |        0.431 |     1362.454
    1361.179 |        0.429 |     1361.608
    1361.827 |        0.422 |     1362.249
    1361.511 |        0.408 |     1361.919
    1361.093 |        0.509 |     1361.602
    1359.843 |        0.489 |     1360.333
    1357.905 |        0.427 |     1358.332
    1358.650 |        0.450 |     1359.099
    1357.921 |        0.422 |     1358.344
    1357.958 |        0.437 |     1358.396
    1358.216 |        0.431 |     1358.647
    1358.447 |        0.403 |     1358.849
    1358.652 |        0.404 |     1359.056
    1359.102 |        0.441 |     1359.543
    1359.750 |        0.422 |     1360.172
    1360.224 |        0.440 |     1360.664
    1359.354 |        0.414 |     1359.768
    1360.105 |        0.417 |     1360.522
    1360.262 |        0.408 |     1360.670
    1360.978 |        0.425 |     1361.403
    1361.494 |        0.481 |     1361.974
    1360.729 |        0.474 |     1361.203
    1360.162 |        0.404 |     1360.566
    1360.665 |        0.405 |     1361.070
    1360.996 |        0.439 |     1361.435
    1357.565 |        0.427 |     1357.992
    1358.011 |        0.424 |     1358.435
    1358.050 |        0.417 |     1358.466
    1358.358 |        0.416 |     1358.774
    1358.019 |        0.444 |     1358.463
    1358.570 |        0.421 |     1358.991
    1359.285 |        0.430 |     1359.715
    1359.905 |        0.394 |     1360.298
    1360.638 |        0.430 |     1361.068
    1361.015 |        0.407 |     1361.422
    1361.590 |        0.421 |     1362.011
    1361.678 |        0.427 |     1362.105
    1362.099 |        0.427 |     1362.526
    1361.055 |        0.416 |     1361.471
    1356.438 |        0.419 |     1356.857
    1357.098 |        0.460 |     1357.558
    1357.287 |        0.457 |     1357.744
    1357.657 |        0.427 |     1358.084
    1358.238 |        0.416 |     1358.655
    1352.674 |        0.402 |     1353.076
    1352.682 |        0.410 |     1353.091
    1353.156 |        0.456 |     1353.612
    1353.668 |        0.426 |     1354.094
    1354.289 |        0.408 |     1354.697
    1354.776 |        0.425 |     1355.202
    1355.335 |        0.421 |     1355.756
    1355.246 |        0.449 |     1355.695
    1355.747 |        0.419 |     1356.166
    1356.391 |        0.417 |     1356.807
    1356.892 |        0.405 |     1357.297
    1355.581 |        0.421 |     1356.001
    1355.875 |        0.415 |     1356.290
    1355.216 |        0.432 |     1355.648
    1355.993 |        0.427 |     1356.420
    1356.764 |        0.420 |     1357.184
    1356.377 |        0.492 |     1356.870
    1356.130 |        0.512 |     1356.642
    1354.658 |        0.422 |     1355.081
    1355.112 |        0.439 |     1355.551
    1355.651 |        0.420 |     1356.071
    1356.012 |        0.466 |     1356.479
    1356.631 |        0.426 |     1357.056
    1357.100 |        0.405 |     1357.505
    1355.928 |        0.479 |     1356.407
    1356.292 |        0.475 |     1356.767
    1355.026 |        0.461 |     1355.487
    1351.798 |        0.440 |     1352.238
    1351.034 |        0.423 |     1351.458
    1351.745 |        0.423 |     1352.168
    1351.893 |        0.469 |     1352.362
    1351.005 |        0.477 |     1351.482
    1351.903 |        0.445 |     1352.348
    1352.413 |        0.435 |     1352.848
    1352.836 |        0.438 |     1353.274
    1352.532 |        0.518 |     1353.050
    1353.412 |        0.490 |     1353.902
    1353.350 |        0.419 |     1353.769
    1352.285 |        0.407 |     1352.692
    1352.325 |        0.436 |     1352.761
    1352.586 |        0.508 |     1353.095
    1353.135 |        0.495 |     1353.630
    1353.949 |        0.422 |     1354.371
    1352.689 |        0.455 |     1353.144
    1351.954 |        0.425 |     1352.380
    1352.330 |        0.497 |     1352.827
    1352.608 |        0.447 |     1353.054
    1352.918 |        0.409 |     1353.327
    1352.651 |        0.407 |     1353.058
    1353.384 |        0.416 |     1353.801
    1351.833 |        0.477 |     1352.310
    1352.161 |        0.468 |     1352.629
    1352.352 |        0.432 |     1352.783
    1352.872 |        0.431 |     1353.303
    1352.785 |        0.404 |     1353.190
    1352.119 |        0.461 |     1352.580
    1352.889 |        0.449 |     1353.339
    1350.682 |        0.448 |     1351.131
    1351.327 |        0.433 |     1351.760
    1351.301 |        0.429 |     1351.730
    1351.706 |        0.459 |     1352.165
    1351.490 |        0.444 |     1351.934
    1347.825 |        0.407 |     1348.233
    1347.060 |        0.430 |     1347.490
    1347.096 |        0.429 |     1347.526
    1347.181 |        0.470 |     1347.651
    1347.052 |        0.427 |     1347.479
    1347.323 |        0.426 |     1347.748
    1345.512 |        0.433 |     1345.945
    1345.859 |        0.444 |     1346.304
    1345.977 |        0.464 |     1346.441
    1344.568 |        0.428 |     1344.996
    1345.008 |        0.439 |     1345.447
    1345.313 |        0.428 |     1345.741
    1345.889 |        0.438 |     1346.327
    1345.463 |        0.420 |     1345.883
    1345.234 |        0.420 |     1345.653
    1345.609 |        0.421 |     1346.030
    1346.022 |        0.422 |     1346.444
    1346.260 |        0.454 |     1346.714
    1346.137 |        0.460 |     1346.597
    1343.458 |        0.430 |     1343.888
    1344.074 |        0.428 |     1344.502
    1343.978 |        0.406 |     1344.384
    1344.025 |        0.444 |     1344.469
    1344.273 |        0.468 |     1344.740
    1345.141 |        0.423 |     1345.564
    1344.514 |        0.423 |     1344.938
    1343.220 |        0.440 |     1343.660
    1343.582 |        0.460 |     1344.042
    1343.979 |        0.490 |     1344.469
    1344.534 |        0.420 |     1344.954
    1345.004 |        0.424 |     1345.428
    1344.915 |        0.432 |     1345.347
    1344.107 |        0.485 |     1344.592
    1344.130 |        0.462 |     1344.593
    1344.879 |        0.407 |     1345.286
    1345.068 |        0.414 |     1345.481
    1342.401 |        0.466 |     1342.867
    1342.605 |        0.476 |     1343.081
    1342.698 |        0.468 |     1343.166
    1341.280 |        0.432 |     1341.712
    1341.807 |        0.403 |     1342.210
    1342.077 |        0.407 |     1342.484
    1341.963 |        0.462 |     1342.425
    1342.062 |        0.471 |     1342.533
    1340.350 |        0.421 |     1340.771
    1340.530 |        0.404 |     1340.934
    1338.094 |        0.415 |     1338.508
    1338.110 |        0.468 |     1338.578
    1337.019 |        0.462 |     1337.481
    1337.252 |        0.427 |     1337.679
    1337.370 |        0.412 |     1337.782
    1336.257 |        0.413 |     1336.670
    1333.895 |        0.441 |     1334.336
    1333.827 |        0.423 |     1334.249
    1333.757 |        0.406 |     1334.163
    1332.901 |        0.411 |     1333.313
    1333.594 |        0.427 |     1334.021
    1334.280 |        0.461 |     1334.741
    1334.496 |        0.422 |     1334.918
    1332.875 |        0.443 |     1333.318
    1333.432 |        0.444 |     1333.875
    1333.690 |        0.412 |     1334.103
    1333.092 |        0.423 |     1333.515
    1333.749 |        0.427 |     1334.177
    1332.843 |        0.404 |     1333.247
    1332.364 |        0.401 |     1332.765
    1332.932 |        0.405 |     1333.337
    1332.319 |        0.451 |     1332.770
    1332.751 |        0.448 |     1333.198
    1333.370 |        0.465 |     1333.836
    1333.665 |        0.421 |     1334.086
    1334.141 |        0.429 |     1334.570
    1334.559 |        0.516 |     1335.074
    1333.094 |        0.491 |     1333.584
    1332.802 |        0.473 |     1333.274
    1333.498 |        0.426 |     1333.924
    1333.330 |        0.407 |     1333.737
    1333.054 |        0.462 |     1333.516
    1332.691 |        0.437 |     1333.128
    1333.441 |        0.436 |     1333.877
    1332.606 |        0.436 |     1333.042
    1332.723 |        0.435 |     1333.158
    1332.646 |        0.463 |     1333.109
    1332.704 |        0.424 |     1333.128
    1332.260 |        0.428 |     1332.688
    1332.107 |        0.405 |     1332.511
    1332.429 |        0.516 |     1332.945
    1332.968 |        0.475 |     1333.442
    1333.607 |        0.410 |     1334.018
    1334.230 |        0.409 |     1334.639
    1334.575 |        0.408 |     1334.983
    1334.813 |        0.449 |     1335.262
    1334.280 |        0.458 |     1334.738
    1335.124 |        0.424 |     1335.548
    1334.832 |        0.408 |     1335.240
    1332.788 |        0.420 |     1333.207
    1333.439 |        0.431 |     1333.870
    1330.507 |        0.457 |     1330.964
    1330.357 |        0.411 |     1330.768
    1327.560 |        0.398 |     1327.958
    1325.555 |        0.405 |     1325.959
    1324.471 |        0.415 |     1324.886
    1322.711 |        0.455 |     1323.166
    1323.482 |        0.442 |     1323.923
    1324.110 |        0.409 |     1324.519
    1324.791 |        0.419 |     1325.211
    1325.534 |        0.400 |     1325.934
    1325.251 |        0.465 |     1325.716
    1325.521 |        0.432 |     1325.953
    1324.347 |        0.407 |     1324.755
    1324.742 |        0.398 |     1325.140
    1325.455 |        0.408 |     1325.863
    1326.102 |        0.464 |     1326.565
    1326.643 |        0.440 |     1327.083
    1325.563 |        0.390 |     1325.953
    1326.056 |        0.406 |     1326.462
    1326.688 |        0.430 |     1327.118
    1327.225 |        0.458 |     1327.683
    1327.447 |        0.448 |     1327.895
    1328.001 |        0.421 |     1328.422
    1327.354 |        0.396 |     1327.749
    1327.048 |        0.396 |     1327.444
    1326.532 |        0.420 |     1326.951
    1325.957 |        0.442 |     1326.399
    1326.699 |        0.406 |     1327.106
    1325.717 |        0.413 |     1326.130
    1326.279 |        0.394 |     1326.674
    1325.713 |        0.462 |     1326.176
    1325.794 |        0.427 |     1326.221
    1326.397 |        0.406 |     1326.802
    1325.147 |        0.400 |     1325.547
    1325.628 |        0.409 |     1326.037
    1326.026 |        0.431 |     1326.457
    1325.825 |        0.415 |     1326.240
    1326.186 |        0.416 |     1326.602
    1326.637 |        0.415 |     1327.052
    1326.496 |        0.402 |     1326.898
    1326.583 |        0.436 |     1327.019
    1324.388 |        0.419 |     1324.808
    1320.819 |        0.411 |     1321.230
    1317.349 |        0.404 |     1317.753
    1317.073 |        0.412 |     1317.485
    1317.611 |        0.446 |     1318.058
    1318.376 |        0.425 |     1318.801
    1318.902 |        0.420 |     1319.321
    1319.631 |        0.422 |     1320.053
    1320.101 |        0.413 |     1320.515
    1320.828 |        0.449 |     1321.277
    1321.352 |        0.417 |     1321.770
    1321.933 |        0.419 |     1322.352
    1317.477 |        0.408 |     1317.885
    1315.547 |        0.451 |     1315.999
    1316.002 |        0.495 |     1316.497
    1316.394 |        0.508 |     1316.902
    1317.121 |        0.948 |     1318.069
    1318.185 |        0.508 |     1318.692
    1318.481 |        0.502 |     1318.983
    1318.761 |        0.466 |     1319.226
    1319.507 |        0.416 |     1319.923
    1319.758 |        0.427 |     1320.186
    1320.480 |        0.426 |     1320.907
    1320.645 |        0.467 |     1321.112
    1320.303 |        0.480 |     1320.783
    1321.015 |        0.418 |     1321.432
    1320.192 |        0.407 |     1320.599
    1320.608 |        0.406 |     1321.014
    1320.446 |        0.487 |     1320.933
    1319.779 |        0.586 |     1320.365
    1320.503 |        0.999 |     1321.502
    1321.525 |        0.504 |     1322.028
    1319.903 |        0.485 |     1320.388
    1320.616 |        0.428 |     1321.043
    1321.032 |        0.425 |     1321.456
    1318.733 |        0.421 |     1319.154
    1318.048 |        0.444 |     1318.492
    1318.367 |        0.435 |     1318.801
    1317.928 |        0.417 |     1318.345
    1316.419 |        0.426 |     1316.846
    1317.201 |        0.418 |     1317.619
    1317.920 |        0.486 |     1318.406
    1317.554 |        0.509 |     1318.062
    1318.307 |        0.857 |     1319.164
    1318.785 |        0.501 |     1319.285
    1319.248 |        0.511 |     1319.758
    1320.023 |        0.498 |     1320.522
    1320.352 |        0.419 |     1320.772
    1320.906 |        0.411 |     1321.317
    1321.176 |        0.444 |     1321.621
    1321.963 |        0.473 |     1322.436
    1322.730 |        0.474 |     1323.204
    1321.509 |        0.406 |     1321.915
    1321.360 |        0.428 |     1321.789
    1321.155 |        0.463 |     1321.619
    1321.941 |        0.500 |     1322.441
    1321.219 |        0.535 |     1321.754
    1321.867 |        0.518 |     1322.384
    1322.617 |        0.436 |     1323.053
    1321.935 |        0.467 |     1322.403
    1322.427 |        0.468 |     1322.895
    1322.272 |        0.427 |     1322.699
    1322.121 |        0.415 |     1322.536
    1322.574 |        0.410 |     1322.984
    1323.327 |        0.474 |     1323.801
    1323.447 |        0.488 |     1323.935
    1324.169 |        0.643 |     1324.813
    1324.689 |        0.731 |     1325.420
    1324.048 |        0.502 |     1324.550
    1323.870 |        0.476 |     1324.346
    1324.338 |        0.422 |     1324.760
    1324.438 |        0.416 |     1324.854
    1325.100 |        0.440 |     1325.540
    1325.243 |        0.439 |     1325.682
    1325.779 |        0.456 |     1326.235
    1326.220 |        0.413 |     1326.633
    1323.912 |        0.437 |     1324.349
    1323.619 |        0.561 |     1324.180
    1322.357 |        0.750 |     1323.108
    1322.268 |        0.496 |     1322.763
    1323.183 |        0.480 |     1323.663
    1323.901 |        0.492 |     1324.393
    1324.014 |        0.475 |     1324.489
    1323.892 |        0.472 |     1324.364
    1323.950 |        0.442 |     1324.392
    1323.990 |        0.437 |     1324.428
    1324.615 |        0.456 |     1325.071
    1324.872 |        0.513 |     1325.385
    1325.339 |        0.635 |     1325.974
    1325.820 |        0.528 |     1326.348
    1325.315 |        0.501 |     1325.817
    1324.892 |        0.454 |     1325.347
    1323.687 |        0.428 |     1324.115
    1323.605 |        0.423 |     1324.028
    1324.330 |        0.433 |     1324.762
    1325.060 |        0.494 |     1325.553
    1323.926 |        0.491 |     1324.417
    1323.389 |        0.464 |     1323.854
    1323.906 |        0.517 |     1324.423
    1324.778 |        0.594 |     1325.373
    1324.359 |        0.502 |     1324.861
    1324.488 |        0.521 |     1325.009
    1324.114 |        0.447 |     1324.561
    1323.873 |        0.447 |     1324.320
    1324.134 |        0.432 |     1324.565
    1324.403 |        0.444 |     1324.847
    1324.525 |        0.409 |     1324.935
    1325.145 |        0.412 |     1325.557
    1324.617 |        0.421 |     1325.039
    1323.682 |        0.435 |     1324.117
    1323.023 |        0.491 |     1323.514
    1323.668 |        0.496 |     1324.163
    1324.195 |        0.696 |     1324.891
    1325.336 |        0.513 |     1325.849
    1324.398 |        0.485 |     1324.883
    1324.225 |        0.418 |     1324.643
    1322.479 |        0.418 |     1322.897
    1321.508 |        0.429 |     1321.937
    1318.642 |        0.472 |     1319.113
    1317.557 |        0.457 |     1318.015
